idx,s, minComparisons,,,,
1,122,5310, ,,,
,114,5173, ,,,
,112,5153, ,,,
,91,5098, ,,mean,91.69
,67,5064, ,,stdev,18.20239467
,70,5324, ,,,
,118,5320, ,,,
,63,5122, ,,,
,64,5228, ,,,
,108,5221, ,,,
,84,5066, ,,,
,71,5211, ,,,
,72,5210, ,,,
,99,5061, ,,,
,121,5238, ,,,
,80,5167, ,,,
,105,5185, ,,,
,104,5171, ,,,
,76,5150, ,,,
,81,5223, ,,,
,82,5287, ,,,
,103,5157, ,,,
,70,5153, ,,,
,66,5232, ,,,
,70,5247, ,,,
,79,5153, ,,,
,73,5277, ,,,
,106,5280, ,,,
,103,5258, ,,,
,71,5226, ,,,
,98,5210, ,,,
,120,5264, ,,,
,82,5261, ,,,
,106,5180, ,,,
,63,5172, ,,,
,66,5276, ,,,
,65,5331, ,,,
,79,5181, ,,,
,86,5079, ,,,
,117,5171, ,,,
,114,5223, ,,,
,92,5176, ,,,
,95,5294, ,,,
,93,5124, ,,,
,124,5201, ,,,
,113,5303, ,,,
,66,5076, ,,,
,119,5329, ,,,
,104,5195, ,,,
,89,5272, ,,,
,82,5175, ,,,
,104,5167, ,,,
,85,5250, ,,,
,73,5093, ,,,
,69,5142, ,,,
,84,5272, ,,,
,100,5287, ,,,
,108,5061, ,,,
,103,5312, ,,,
,93,5272, ,,,
,93,5227, ,,,
,82,5209, ,,,
,71,5217, ,,,
,73,5297, ,,,
,79,5103, ,,,
,122,5251, ,,,
,91,5175, ,,,
,64,5163, ,,,
,80,5268, ,,,
,80,5195, ,,,
,106,5138, ,,,
,66,5274, ,,,
,90,5266, ,,,
,120,5275, ,,,
,110,5286, ,,,
,84,5363, ,,,
,121,5206, ,,,
,97,5092, ,,,
,83,5211, ,,,
,96,5369, ,,,
,108,5205, ,,,
,80,5184, ,,,
,121,5278, ,,,
,79,5186, ,,,
,79,5064, ,,,
,124,5226, ,,,
,83,5256, ,,,
,83,5171, ,,,
,94,5278, ,,,
,123,5307, ,,,
,76,5289, ,,,
,68,5236, ,,,
,100,5212, ,,,
,120,5301, ,,,
,110,5245, ,,,
,106,5252, ,,,
,95,5196, ,,,
,102,5278, ,,,
,90,5273, ,,,
,83,5224, ,,,