n, Insertion Sort, Merge Sort, Hybrid Sort
1,0,0,0
2,0,1,1
3,3,2,5
4,3,5,5
5,6,7,9
6,5,10,8
7,10,12,14
8,16,17,20
9,13,19,18
10,29,24,34
11,35,25,41
12,38,30,44
13,37,34,44
14,47,38,54
15,64,44,72
16,77,45,85
17,56,52,65
18,36,54,45
19,80,63,90
20,87,65,97
21,118,70,129
22,111,74,122
23,125,77,137
24,160,86,172
25,133,87,146
26,130,95,143
27,201,98,215
28,167,107,181
29,198,107,213
30,236,110,251
31,218,117,234
32,219,117,235
33,232,130,249
34,285,127,302
35,268,140,286
36,336,143,354
37,363,136,382
38,384,155,403
39,393,156,413
40,395,165,415
41,483,172,504
42,411,176,432
43,454,186,476
44,502,186,524
45,522,195,545
46,559,200,582
47,566,206,590
48,573,209,597
49,548,218,573
50,546,224,571
51,566,225,592
52,632,232,658
53,713,243,740
54,837,246,864
55,700,251,728
56,668,256,696
57,787,263,816
58,798,266,827
59,816,278,846
60,958,284,988
61,912,289,943
62,1034,296,1065
63,1048,302,1080
64,1000,308,1032
65,1006,314,1039
66,1240,320,1273
67,1031,324,1065
68,1141,327,1175
69,1148,322,1183
70,1297,336,1332
71,1389,356,1425
72,1090,350,1126
73,1217,364,1254
74,1354,363,1391
75,1282,377,1320
76,1557,390,1595
77,1540,398,1579
78,1498,397,1537
79,1541,403,1581
80,1664,404,1704
81,1545,406,1586
82,1688,434,1729
83,1735,431,1777
84,1732,430,1774
85,1707,436,1750
86,1976,448,2019
87,1928,445,1972
88,1907,469,1951
89,1953,466,1998
90,2084,467,2129
91,1961,467,2007
92,2025,487,2071
93,2218,497,2265
94,2180,507,2227
95,1993,502,2041
96,2085,508,2133
97,2598,522,2647
98,2501,525,2550
99,2255,535,2305
100,2782,541,2832
101,2563,549,746
102,2662,548,871
103,2542,560,753
104,2914,572,832
105,2703,578,904
106,2687,592,809
107,2850,577,845
108,2462,604,971
109,3081,606,876
110,2875,615,814
111,2965,619,931
112,3098,619,954
113,3423,635,1019
114,3369,638,1034
115,3465,637,1053
116,3339,651,975
117,3375,657,1065
118,3499,673,1067
119,3278,673,913
120,3230,680,924
121,3846,688,1092
122,3387,699,1133
123,3441,707,959
124,3944,710,1275
125,3717,725,1168
126,3650,726,1163
127,4134,730,1160
128,4228,738,1100
129,4161,759,1110
130,3948,749,1190
131,4273,761,1231
132,4183,753,1299
133,4308,763,1249
134,4683,779,1484
135,4467,792,1339
136,4437,801,1465
137,4709,807,1424
138,4780,815,1349
139,4876,822,1541
140,4663,818,1555
141,5104,821,1375
142,4978,846,1411
143,5378,856,1677
144,4749,846,1547
145,5524,864,1653
146,4854,847,1267
147,5316,887,1494
148,5741,877,1807
149,5769,883,1834
150,4934,904,1551
151,5851,899,1465
152,5281,906,1530
153,6063,913,1703
154,6057,919,1712
155,5837,935,1832
156,5833,940,1872
157,5657,957,1667
158,5944,967,1728
159,6206,955,1913
160,6817,977,1767
161,6547,983,1904
162,6435,993,1717
163,6649,993,1790
164,6351,1007,1930
165,5958,1011,1870
166,6585,1018,1954
167,7423,1040,2081
168,6775,1045,1860
169,6823,1051,2143
170,6836,1035,2091
171,7716,1071,2143
172,7298,1059,2151
173,7665,1080,2014
174,7838,1086,2155
175,7870,1105,2210
176,8070,1098,2303
177,7521,1104,2234
178,7578,1114,2310
179,7682,1106,2006
180,8532,1136,2224
181,7684,1143,2601
182,8402,1151,2172
183,8689,1150,2482
184,8187,1167,2414
185,7810,1157,2160
186,9045,1176,2746
187,8064,1179,2095
188,8516,1182,2159
189,8690,1196,2558
190,9063,1199,2790
191,8723,1197,2393
192,8805,1222,2820
193,9014,1229,2630
194,9731,1249,2775
195,9676,1236,2982
196,8958,1247,2498
197,9207,1255,2668
198,9918,1254,2569
199,9465,1274,2699